top - 16:26:32 up 3 days, 10:14,  1 user,  load average: 0.59, 0.60, 0.44
Tasks: 351 total,   2 running, 278 sleeping,   3 stopped,   0 zombie
%Cpu(s): 33.3 us, 10.0 sy,  0.0 ni, 56.0 id,  0.5 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  8082552 total,   133808 free,  4978888 used,  2969856 buff/cache
KiB Swap:  2097148 total,  1581148 free,   516000 used.  2686732 avail Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 9780 bhaskar   20   0 7183608 1.199g  43012 S  29.4 15.6   6:07.50 java
 1186 root      20   0  571936 103084  38180 S  11.8  1.3 128:44.72 Xorg
 1421 bhaskar   20   0 4598580 629556  66516 S   5.9  7.8 444:06.74 gnome-shell
11479 bhaskar   20   0   51316   4188   3396 R   5.9  0.1   0:00.03 top
    1 root      20   0  225948   6092   3476 S   0.0  0.1   0:08.26 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.08 kthreadd
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/0:+
    6 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_+
    7 root      20   0       0      0      0 S   0.0  0.0   0:02.86 ksoftirqd/0
    8 root      20   0       0      0      0 I   0.0  0.0   1:23.34 rcu_sched
    9 root      20   0       0      0      0 I   0.0  0.0   0:00.00 rcu_bh
   10 root      rt   0       0      0      0 S   0.0  0.0   0:00.28 migration/0
   11 root      rt   0       0      0      0 S   0.0  0.0   0:00.29 watchdog/0
   12 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   13 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   14 root      rt   0       0      0      0 S   0.0  0.0   0:00.42 watchdog/1
   15 root      rt   0       0      0      0 S   0.0  0.0   0:00.19 migration/1
   16 root      20   0       0      0      0 S   0.0  0.0   0:00.83 ksoftirqd/1
   18 root       0 -20       0      0      0 I   0.0  0.0   0:00.95 kworker/1:+
   19 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
   20 root      rt   0       0      0      0 S   0.0  0.0   0:00.54 watchdog/2
